A N Dev Nagar
Badlapur
Badli
Badmal
Badnapur
Badnera Junction
Badodar
Badshahnagar
Badshahpur
Badulipar
Badurpur Ghat
Bagaha
Bagalia
Bagalkot
Bagbahra
Bagdihi
Bagetar
Bagevadi Road
Baghauli
Baghdogra
Baghnapara
Baghora
Baghuapal
Bagnan
Bagra Tawa
Bagri Nagar
Bagri Sajjanpur
Bagumra
Bagwada Halt
Bahadurgarh
Bahadurpur
Baheri
Bahjoi
Bahraich
Baiguda
Baihatola
Baikunth
Baikunthpur Road
Bainchi
Bairagarh
Bairagnia
Baitalpur
Baitarani Road
Baiyyappanahali
Bajrangarh
Bajud
Bajva
Bakanian Bhaunr
Bakhleta
Bakhtiyarpur Junction
Baktal
Bakudi
Balabhadrapuram
Balabnramapuram
Balagarh
Balaghat Junction
Balamu Junction
Balangir
Balasore
Balawali
Bale
Balganur
Balharshah
Baliakheri
Balichak
Ballabgarh
Ballenahalli
Ballia
Bally
Balod
Balotra Junction
Balpur Halt
Balsamand
Balugan
Balurghat
Bamhrauli
Bamla
Bamnia
Bamra
Banahi
Banapura
Banar
Banas
Banaswadi
Banbasa
Banda Junction
Bandakpur
Bandanwara
Bandarkhal
Bandel Junction
Bandh Bareta
Bandhua
Bandikui Junction
Bandra Terminus
Bangalore Cant
Bangalore Cy Junction
Bangalore East
Bangarapet
Bangarapet
Bangriposi
Bangrod
Bani
Bani Bihar
Banihal
Banisar
Banka
Banka Ghat
Banka Road Oa
Bankata
Bankhedi
Bankura
Banmor
Bano
Banpas
Bansh Baria
Banshlai Bridge
Bansi Paharpur
Bansipur
Banspani
Bansthali Niwai
Banta Rnathgarh
Bantanahal
Bantawala
Banthra
Baori Thikria
Bap
Bapatla
Bapudm Motihari
Bapudm Motihari
Bar
Bara Jamda
Barabambo
Barabanki Junction
Barabhum
Barabil
Barachak
Baradwar
Baragopal
Barahat
Baraigram Jn
Barakar
Baral
Baran
Barang
Barara
Barauni Junction
Baraut
Barbatpur
Barchi Road
Barddhaman Junction
Bardhana Halt
Bardoli
Bareilly
Bareilly
Bareilly City
Barejadi
Barelipur
Bareta
Bareth
Bargarh
Bargarh Road
Bargawan
Bargi
Barh
Barhan
Barharwa Junction
Barhiya
Barhiya
Barhni
Bari Brahman
Bariarpur
Baripada
Bariwala
Barka Kana
Barkhera
Barkisalalya
Barkur
Barlai
Barmer
Barnala
Barog
Barpali
Barpathar
Barpeta Road
Barrackpore
Barrajpur
Barsali
Barsi Town
Barsoi Junction
Barsola
Barua Bamungaon
Barud
Barwa Sagar
Barwadih Junction
Barwaha
Barya Ram
Basai
Basantapur
Basar
Basbari
Basharatganj
Basin Bridge Junction
Basmat
Basni
Bassi
Bassi Pathanam
Basta
Basti
Basugaon
Basukinath
Baswa
Batala Junction
Bataspur
Bathinda Cantt 
Bauria Junction
Bawal
Bawani Khera
Bayana Junction
Baytu
Bayyavaram
Bazarsau
Bazpur
Beas
Beawar
Bechhiwara
Begampet
Begdewadi
Begu Sarai
Behtagokul
Behula
Bekal Fort
Bela
Bela Tal
Belakoba
Belampalli
Belapur
Belasar
Belda
Beldanga
Belgahna
Belgaum
Belgharia
Belha
Bellamkonda
Bellary Cant
Bellary Junction
Bellenahalli
Belpahar
Belrayan
Belsonda
Belthara Road
Belvandi
Beohari
Berawanya
Berchha
Berhampore Crt
Bermo
Betamcherla
Betavad
Bethampurdi
Bethuadahari
Betnoti
Bettiah
Betul
Bevinahalu
Bhabhar
Bhabta
Bhabua Road
Bhachau
Bhachau Bg
Bhadan
Bhadaura
Bhadbhunja
Bhadli
Bhadohi
Bhadrachalam Road
Bhadrakh
Bhadravati
Bhadreshwar
Bhadri
Bhadroli
Bhaga Junction
Bhagalpur
Bhagalpur
Bhagat Ki Kothi
Bhagwangola
Bhagwanpur
Bhagwanpura
Bhairoganj
Bhairongarh
Bhakti Nagar
Bhalki
Bhalui
Bhaluka Road F
Bhalukmara
Bhalulata
Bhalumaska
Bhalwani
Bhanapur
Bhandak
Bhandara Road
Bhandaridah
Bhandu Motidau
Bhansi
Bhanvad
Bhanvad
Bhanwar Tonk
Bhanwasa
Bharat Kup
Bharatpur Junction
Bharoli
Bharthana
Bharuch Junction
Bharwa Sumerpur
Bharwari
Bhatapara
Bhatinda Junction
Bhatisuda
Bhatiya
Bhatkal
Bhatkal
Bhatni Junction
Bhaton Ki Gali
Bhatpar Rani
Bhattiprolu
Bhattu
Bhavanagar Para
Bhavani Nagar
Bhavnagar Trmus
Bhawani Mandi
Bhawanipatna
Bhayandar
Bhayavadar
Bhedia
Bheerpur
Bheja
Bheraghat
Bhesana
Bheslana
Bhestan
Bhigwan
Bhiknur
Bhilad
Bhilai
Bhilai Pwr Hs
Bhilainagar
Bhilavdi
Bhildi
Bhilwara
Bhimadolu
Bhimal
Bhimalgondi
Bhimana
Bhimasar Bg
Bhimavaram Junction
Bhimavaram Town
Bhimgara
Bhimkhoj
Bhimsen
Bhind
Bhinwaliya
Bhira Kheri
Bhitaura
Bhitoni
Bhivpuri Road
Bhiwandi Road
Bhiwani
Bhiwani City
Bhogpur Sirwal
Bhojipura Junction
Bhojo
Bhojudih Junction
Bhokar
Bhoke
Bhoma
Bhone
Bhongaon
Bhongir
Bh Onra
Bhopal Junction
Bhoras Budrukh
Bhortex
Bhubaneswar
Bhuchchu
Bhugaon
Bhuj
Bhulanpur
Bhulon
Bhupalsagar
Bhupdeopur
Bhupia Mau
Bhurkunda
Bhusandpur
Bhusaval Junction
Bhuteshwar
Bibinagar
Bichia
Bidadi
Bidanpur
Bidar
Bidhan Nagar
Bidupur
Bigga
Bighapur
Bihar Sharif
Bihara
Bihiya
Bihta
Bijainagar
Bijapur
Bijauli
Bijaysota
Bijni
Bijnor
Bijoor
Bijora
Bijuli Halt
Bijuri
Bijwasan
Bikaner Junction
Bikkavolu
Bikram Shila
Bikrampur
Bilaspur Junction
Bilaspur Road
Bilaspur Road
Bildi
Bilga
Bilhar Ghat
Bilhaur
Bilimora Junction
Billi
Bilpur
Bilwai
Bina Junction
Binaiki
Bindki Road
Binnaguri
Bir
Biradhwal
Birambad
Biramdih
Birapatti
Birlanagar
Birnagar
Birohe
Biroliya
Birsinghpur
Birur Junction
Bisalwas Kalan
Bisanattam
Bisapurkalan
Bishnathganj
Bishnupur
Bishrampur
Bisra
Bissamcuttack
Bissau
Bisugirsharif
Biswan
Bitragunta
Biyavra Rajgarh
Bobas
Bobbili
Bodhadi Bujrug
Bodwad
Bohali
Bohani
Boinda
Boisar
Bokajan
Bokaro Stl City
Bokaro Thermal
Bolai
Bolarum
Bolarum Bazar
Bolinna Doaba
Bolpur S Niktn
Bolsa
Bomadra
Bommidi
Bona Kalu
Bondamunda
Bongaigaon
Bonidanga
Bordhal
Bordi
Borhat
Boribial
Boridand
Borivali
Boroti
Borraguhallu
Bortalao
Borvihir
Botad Junction
Bpt Station
Brahmanagudem
Brahmanpalli
Brahmapur
Brajrajnagar
Brayla Chaurasi
Budalur
Budaun
Buddireddippati
Budhi
Budhlada
Budni
Budvel
Bulandshahr
Bundi
Bundki
Buniadpur
Burhanpur
Burhar
Burhwal
Burnpur
Butari
Buti Bori
Buxar
Byadarahalli
Byadgi
Byculla
Byndoor
C Shahumharaj T
Cancona
Castle Rock
Cavalry Barrcks
Chabua
Chachaura Bngj
Chacher
Chagallu
Chaibasa
Chainpur
Chainwa
Chajawa
Chajli
Chakand
Chakarbhatha
Chakarpur
Chakdaha
Chakdayala
Chakia
Chakki Bank
Chakradharpur
Chakraj Mal
Chakrod
Chaksu
Chakulia
Chakur
Chalakudi
Chalama
Chalgeri
Chalisgaon Junction
Challakere
Chalsa Junction
Chalthan
Chamagram
Chamarajanagar
Champa
Champaner Road Jn
Chand Siau
Chanda Fort
Chandan Nagar
Chandanattop
Chandari
Chandauli Mjhwr
Chandausi Junction
Chandawal
Chanderiya
Chandi Mandir
Chandia Road
Chandigarh
Chandil Junction
Chandlodiya
Chandlodiya
Chandok
Chandragiri
Chandrakona Road
Chandranathpur
Chandrapur
Chandrapura
Chandur
Chandur Bazar
Chaneti
Changanaseri
Changotola
Changsari
Channani
Channapatna
Chanpatia
Chaparmukh Junction
Charamula Kusum
Charanmahadevi
Charaud
Charbatia
Charegaon
Charghat Pipari
Charkhera
Charkhi Dadri
Charlapalli
Charvattur
Chata
Chatra
Chatrappatti
Chatrapur
Chattriput
Chau Mahla
Chaube
Chauk
Chaukhandi
Chaunrah
Chaura
Chauri Chaura
Chausa
Chautara
Chauth Ka Brwra
Chavaj
Chavalkhede
Chawapall
Chebrol
Cheekateegalplm
Chengalpattu
Chengannur
Chennai Beach
Chennai Central
Chennai Egmore
Cheoki
Cheriyanad
Cherukara
Chettinad
Chhabra Gugor
Chhan Arorian
Chhandrauli
Chhanera
Chhapi
Chhapra
Chhapra Kacheri
Chharodi
Chharra
Chhatna
Chhina
Chhindwara Junction
Chhipadohar
Chhota Gudha
Chhoti Odai
Chhulha
Chichaki
Chidambaram
Chiheru
Chik Banavar
Chikalthan
Chikhli
Chikjajur Junction
Chikni Road
Chikodi Road
Chilakalapudi
Chilbila Junction
Chilikidara
Chilka
Chilkahar
Chiluvur
Chima Pahad
Chimidipalli
Chinchli
Chinchpada
Chinchvad
Chinna Ganjam
Chinna Salem
Chinnaravuru
Chinpai
Chintaman Ganes
Chiplun
Chipurupalle
Chirala
Chirawa
Chirayinkil
Chirgaon
Chirmiri
Chit Baragaon
Chitahra
Chitali
Chitgidda
Chitradurg
Chitrakot
Chitrasani
Chitrod
Chittapur
Chittaranjan
Chittaurgarh
Chittor
Chityala
Chodiala
Chola
Chomun Samod
Chopan
Choral
Chorghatpiparia
Chorgi
Chorvad Road
Choti Khatu
Choupale
Chuchura
Chudawa
Chunar
Churaibari
Churk
Churu
Cinnamara
Clutterbuckganj
Coimbatore Junction
Coimbatore Nrth
Colonelganj
Contai Road
Coonoor
Cossimbazar
Cuddalore Port
Cuddapah
Cumbum
Cuttack
Dabhaura
Dabhoda
Dabilpur
Dabka
Dabla
Dabpal
Dabpal
Dabra
Dabtara
Dadar
Dadar
Dadhapara
Dadhdevi
Dadpur
Dadri
Dagarhkeri
Daghora
Dagmagpur
Dagori
Dahanu Road
Dahar Ka Balaji
Dahod
Dakaniya Talav
Dakhineswar
Daladi
Dalauda
Dalbhumgarh
Dalelnagar
Dalgaon
Daliganj
Dalkolha
Dalli Rajhara
Dalmau Junction
Dalpatpur
Dalsingh Sarai
Daltonganj
Damanjodi
Damchara
Damoh
Danapur
Danauli Phlwria
Dandupur
Danea
Dangarwa
Dangoaposi
Danishpet
Daniyawan Bzr H
Dankaur
Dankuni
Dantan
Dantewara
Dantra
Danwar
Daotuhaja
Dapodi
Dappar
Dara
Darbhanga Junction
Darekasa
Darjeeling
Darliput
Darritola
Daryabad
Dasharathpur
Dasna
Dasuya
Datia
Daudpur
Daulatabad
Daulatpur Hat
Daund Junction
Daurai
Daurala
Dauram Madhpura
Dausa
Dausni
Davangere
Dayalpur
Dayanand Nagar
Debagram
Debari
Deeg
Degana Junction
Dehradun
Dehri On Sone
Dehu Road
Dekargaon
Delang
Delhi
Delhi Cantt
Delhi Kishangnj
Delhi S Rohilla
Delhi Safdarjng
Delhi Shahdara
Denduluru
Deoband
Deoghar
Deojhar
Deori
Deoria Sadar
Deotala
Depur Ph
Derol
Derowan P  H 
Desari
Deshapran P H 
Deshnok
Devakottai Road
Devalgaon Auchr
Devangonthi
Devargudda
Devbaloda Chrda
Devi Halt
Devlali
Devpura
Devri Ph
Dewanganj
Dewas
Dhaban
Dhaca Cantt
Dhaka
Dhalgaon
Dhamalgaon
Dhamangaon
Dhamara Ghat
Dhamdhamia
Dhamora
Dhampur
Dhana Kherli
Dhanakya
Dhanapur Orissa
Dhanari
Dhanauri
Dhanbad Junction
Dhandari Kalan
Dhandhera
Dhanera
Dhaneta
Dhanmandal
Dhanuvachapuram
Dhapewara
Dharangaon
Dhareshwar
Dharewada
Dharhara
Dhariwal
Dharmabad
Dharmanagar
Dharmapuri
Dharmavaram Junction
Dharmpur Hmchl
Dharnaoda
Dharuadihi
Dharur
Dharwar
Dhasa Junction
Dhatrigram
Dhaulpur
Dhauni
Dhaura
Dhavalas
Dheena
Dhekiajili Road
Dhekvad
Dhemaji
Dhengli Pp Goan
Dhenkanal
Dhilwan
Dhinda
Dhirera
Dhodhar
Dhodra Mohar
Dhoki
Dhola Junction
Dholi
Dholipal
Dhondi
Dhone
Dhone
Dhoraji
Dhrangdhra
Dhuankheri
Dhubri
Dhubulia
Dhule
Dhulghat
Dhulian Ganga
Dhulkot
Dhupguri
Dhuri Junction
Dhurwasin
Dhutra
Dibrugarh
Dibrugarh Town
Didwana
Digaru
Digboi
Digha Flag Stn
Dighwara
Digod
Diguvametta
Dihakho
Dijaobra
Dilawarnagar
Dildarnagar Junction
Dilmili
Dilwa
Dimapur
Dina Nagar
Dindigul Junction
Diphu
Diplana
Disa
Ditokcherra
Diva
Divine Nagar
Diwankhavati
Diyatara Road
Diyodar
Dodballapur
Dodbele
Dodhi
Doikallu
Doiwala
Dokwa
Domingarh
Donakonda
Dondaicha
Dongargarh
Donkinavalasa
Doraha
Dornakal Junction
Dosvada
Dubaha
Dubrajpur
Duddhinagar
Dudhani
Dudhwakhara
Duganpur
Duggirala
Duliajan
Dullahapur
Dulrasar
Dum Dum
Dumariya
Dumka
Dumraon
Dumri Bihar
Dumri Halt
Dumri Juara
Dumurdaha
Dumuriput
Dundi
Dundlod Mkdgrh
Dungarpur
Dungri
Dungripali
Duraundha Junction
Durg
Durgada Gate
Durgapur
Durgapura
Durgauti
Duroji
Dusi
Duvvada
Dwarapudi
Dwarka
Edavai
Edduladoddi
Ekambarakuppam
Ekangarsarai
Ekchari
Eklakhi
Ekma
Ekma
Elimala
Ellamanchili
Ellenabad
Eluru
Eranakulam Junction
Eraniel
Ernakulam Town
Erode Junction
Errupalem
Etawah
Etmadpur
Ettapur Road
Ettumanur
Ezhukone
Faizabad Junction
Faizullapur
Fakiragram Junction
Falakata
Falna
Farah Town
Faridabad
Faridabad Nw Tn
Faridkot
Farrukhabad
Fateh Singhpura
Fatehabad Ch Jn
Fatehgarh
Fatehgarh Sahib
Fatehnagar
Fatehpur
Fatehpur Sikri
Fatehpur Skhwti
Fatwa
Fazalpur
Fazilka
Ferok
Firozabad
Firozpur Cant
Firozpur City
Forbesganj
Furkating Junction
Fursatganj
G Pochampalli
G Ramachandrapu
Gachhipura
Gadadharpur
Gadag Junction
Gadarwara
Gadhwala
Gadiganuru
Gadwal
Gahlota
Gahmar
Gaipura
Gajapatinagaram
Gajjelakonda
Gajner
Gajraula Junction
Gajsinghpur
Galgalia
Galudih
Gambhiri Road
Gamharia
Ganagapur Road
Ganaur
Gandhidham Bg
Gandhidham Junction 
Gandhinagar Cap
Gandhinagar Jpr
Gandhipuram Hal
Gandhismriti
Ganeshganj
Gangadhara
Gangadharpur
Gangaganj
Gangaghat
Gangajhari
Gangakher
Gangani
Gangapur City
Gangarampur
Gangiwara
Gangrar
Gangsar Jaitu
Ganj Basoda
Ganj Dundwara
Ganjam
Gankar
Gannavaram
Garh Dhrubeswar
Garh Jaipur
Garhara
Garhbeta
Garhi Harsaru
Garhi Manikpur
Garhmuktesar
Garhmuktesar Br
Garhwa
Garifa
Garividi
Garla
Garot
Garpos
Garudubilli
Garwa Road
Gatora
Gaura
Gauri Bazar
Gauribidanur
Gauriganj
Gauripur
Gaushala
Gautamdhara
Gautamsthan
Gaya Junction
Gayabari
Gazole
Gazulapalli
Gede
Gegal Akhri
Geratpur
Getor Jagatpura
Gevra Road
Ghadela
Ghagghar
Ghagwal
Ghanauli
Ghanpur
Ghantikhal Ndpr
Gharaunda
Ghaso
Ghat Nandur
Ghataka Varana
Ghatampur
Ghatera
Ghatkesar
Ghatprabha
Ghatsila
Ghaziabad
Ghazipur City
Ghoga
Ghoksadanga
Gholvad
Ghonsor
Ghoradongri
Ghorawadi
Ghorpuri
Ghosunda
Ghughuli
Ghum
Ghunghuti
Ghutku
Gidam
Giddalur
Giddarbaha
Gidhaur
Gidni
Ginigera
Giridih
Girimaidan
Girwar
Goaldih
Goalpara Town
Godamgura
Godavari
Godhra Junction
Gogameri
Gogamukh
Gogamukh
Gohad Road
Gohana
Gohpur
Goilkera
Gokak Road
Gokarna Road
Gokulpur
Gola Gokaranath
Gola Road
Golaghat
Golakganj Jn
Goldinganj
Goldingganj
Gollaprolu
Golsar
Gomati Nagar
Gomoh Junction
Gomta
Gonda Junction
Gondal
Gondia Junction
Gondwanavisapur
Goneana
Gooty
Gop Jam
Gopalapatnam
Gora Ghuma
Gorakhnath
Gorakhpur Cant
Gorakhpur City
Gorakhpur Junction
Gorapur
Goraul
Goraya
Goregaon Road
Goresuar
Goriyan
Gosalpur
Goshainganj
Gossaigaon Hat
Gotan
Gothaj
Gothangam
Gotlam
Gour Malda
Goverdhan
Govindgarh
Govindgarh Malk
Govindpur Road
Govindpuri
Govindpuri
Gowdavalli
Gubbi
Gudaparti
Gudgeri
Gudimetta
Gudivada Junction
Gudiyattam
Gudlavalleru
Gudma
Gudru Halt
Gudupulli
Gudur Junction
Gujhandi
Gulabhganj
Gulabpura
Gulaothi
Gulbarga
Guldhar
Guledagudda Road
Gullaguda
Gullipadu
Gulzarbagh
Gumada
Gumani
Gumia
Gumman
Gummidipundi
Gumthal
Guna
Gunadala
Gundalukamma
Gundardehi
Guntakal Junction
Guntur Junction
Guptipara
Gur Market
Guramkhedi
Guraru
Gurdaspur
Gurgaon
Gurhi
Guriya
Gurla
Gurpa
Gurra
Gursahaiganj
Guru Harsahai
Guruvayur
Guskara
Guwahati
Guwarighat
Gwalior
Gyanpur Road
H Nizamuddin
Habibganj
Habibwala
Hadapsar
Haddinagundu
Hadmadiya
Hadmatiya Junction
Hadyal
Hafizpeta
Hafizpur
Haflong Hill
Hagari
Haiaghat
Haidarnagar
Haidergarh
Hajipur Junction
Hakimpur
Halakatta
Haldaur
Haldi Road
Haldia
Haldibari
Haldipada
Haldwani
Halisahar
Halvad
Hamarapur
Hamira
Hamirgarh
Hamirpur Road
Hamitonganj
Hamsavaram
Hanakere
Handia Khas
Hansi
Hansiawas
Hanuman Station
Hanumangarh Junction
Hanumangarhtown
Hanwant
Hapa
Hapur
Harangajao
Harangul
Haranya Kheri
Harauni
Harchandpur
Harda
Hardas Bigha
Hardattpur
Hardoi
Hardua
Hargaon
Harichandanpur
Haridwar Junction
Harihar
Harinagar
Harippad
Haripur
Harischandrpur
Harishanker Road
Harkia Khal
Harmuti
Harnaut
Harpalganj
Harpalpur
Harrad
Harrawala
Harri
Harsauli
Harsud
Harthala
Hasanparthi Road
Hasanpur Road
Hasimara
Hassan
Hathbandh
Hathidah Junction
Hathidah Upper
Hathras City
Hathras Junction
Hathras Road
Hathuran
Hatia
Hatikhali
Hatkanagale
Hatpuraini
Haveri
Hazaribagh Road
Hbl Nagar
Hebbal
Hejjala
Helem
Hemagiri
Her
Hijilli
Hilara
Hilligrove
Hilsa
Himayatnagar
Himmatnagar
Hindaun City
Hindupur
Hinganghat
Hingoli Deccan
Hira Nagar
Hirakud
Hirdagarh
Hirenanduru
Hirnoda
Hisar
Hodal
Hojai
Hol
Holalkere
Holambi Kalan
Hole Alur
Hole Narsipur
Hombal
Honnavar
Hooghly Ghat
Hosdurga Road
Hoshangabad
Hoshiarpur
Hospet Junction
Hosur
Hotgi
Howbadh Jablpur
Howrah Junction
Hubli Junction
Hunsihadgil
Hyderabad Decan
Ib
Ibrahimpur
Ichauli
Ichchpuram
Ichhapur
Idaplli
Idgah Agra Junction
Igatpuri
Ikkar
Iklehra
Indapur
Indara Junction
Indargarh
Indargarh
Indi Road
Indore Junction Bg
Indore Jn Mg
Indrabil
Ipurupalem
Iqbal Gadh
Iqbalpur
Iravipuram
Irinjalakuda
Irugur
Isand
Isarda
Isarwara
Islampur
Ismaila Haryana
Ismailpur
Itarsi Junction
Itola
Itwari
Izzatnagar
Jabalpur
Jabli
Jabri
Jadcherla
Jagadhri
Jagadhri Wshop
Jagadishpur
Jagatbela
Jagdalpur
Jagesharganj
Jagi Road
Jagraon
Jagudan
Jai Samand Road
Jaipur
Jairamnagar
Jais
Jaisalmer
Jaithari
Jaitipur
Jaitsar
Jaitwar
Jajiwal
Jajpur K Road
Jakhal Junction
Jakhalabandha
Jakhalaun
Jakhanian
Jakhapura
Jakhim
Jakhvada
Jalalganj
Jalalpur Dhai
Jalamb Junction
Jalandhar Cant
Jalandhar City
Jalargarh
Jalesar Road
Jaleswar
Jalgaon Junction
Jalindri
Jaliya Devani
Jallalabd
Jalna
Jalor
Jalpaiguri
Jalpaiguri Road
Jalsu
Jam Jodhpur Junction
Jam Wanthali
Jama
Jamalpur Junction
Jambara
Jamdha
Jamga
Jamikunta
Jamirghata
Jammu Tawi
Jamnagar
Jamsar
Jamtara
Jamui
Jamunamukh
Jamunia Kalan
Janakpur Road
Jandiala
Jandrapeta
Jangaon
Janghai Junction
Jangipur Road
Jankampet Junction
Janwal
Jaora
Japla
Jaraikela
Jarandeshwar
Jarangdih
Jargaon
Jaroli
Jarti
Jarwal Road
Jasidih Junction
Jasra
Jaswantgarh
Jaswantnagar
Jath Road
Jatinga
Jatkanhar
Jaunpur City
Jaunpur Junction
Jawad Road
Jawaharnagar
Jawaharnagar
Jawai Bandh
Jawali
Jayasingpur
Jaynagar
Jehanabad
Jejuri
Jeonara Ph
Jeonathpur
Jeruwa Khera
Jetalsar Junction
Jethi
Jeur
Jeypore
Jgmbla Kshnprm
Jhajha
Jhalawar Road
Jhalida
Jhalwara
Jhansi Junction
Jhantipahari
Jhapater Dhal
Jhargram
Jharia
Jharradih
Jharsuguda Junction
Jhilmili
Jhimri
Jhingura
Jhinjhak
Jhulasan
Jhunjhunun
Jhunpa
Jiaganj
Jigna
Jimidipeta
Jind Junction
Jinti Road
Jiradei
Jiradei
Jirania
Jirat
Jirwan
Jite
Jiyapuram
Jmtra Paraswara
Jo Jagabor
Jodhpur Junction
Jogal
Jogbani
Jogendranagar
Jogi Magra
Jogighopa
Jolarpettai
Jonha
Jorai
Joramow
Joravasan
Jorawarnagar Junction
Jorhat Town
Joychandi Pahar
Jugaur
Jugpura
Jujumura
Jukehi
Julana
Junagadh Junction
Jung Bahadurgnj
Junnor Deo
Jutogh
Jwalapur
Kabakaputtur
Kacheguda
Kachewani
Kachhia Bridge
Kachnara Road
Kachujor
Kadakavur
Kadakola
Kadalundi
Kadambur
Kadavakuduru
Kadaynallur
Kadethan
Kadipur
Kadiri
Kadiyan
Kadur
Kafurpur
Kahalgaon
Kahet
Kahiliya
Kaialsa
Kaikolur
Kaikoram
Kailahat
Kailasapuram
Kaimganj
Kairla
Kaithal
Kaithalkuchi
Kajgaon
Kajoragram
Kajra
Kajrat Nawadih
Kakapora
Kakarghatti
Kakinada Port
Kakinada Town
Kakirigumma
Kaklur
Kakori
Kala Akhar
Kalachand
Kaladehi
Kalamb Road
Kalamboli
Kalamboli
Kalamna
Kalana
Kalanaur Kalan
Kalanwali
Kalapipal
Kaldhari
Kalgupur
Kalhar
Kali Sindh
Kalian Chak
Kalianpur
Kalinarynpur Junction
Kalipahari
Kaliyanganj
Kalka
Kalkund
Kallakkudi Plgh
Kallal
Kalligudi
Kallkiri
Kalluru
Kalmeshwar
Kalmitar
Kalol
Kalpi
Kalsur
Kalunga
Kalupara Ghat
Kalyan Junction
Kalyani
Kalyanpur Road
Kamakhya
Kamakhyaguri
Kamalapuram
Kamalganj
Kamalnagar
Kamalpurgram
Kamalur
Kamarbandha Ali
Kamareddi
Kamarkundu
Kamasamudram
Kamathe
Kamli
Kamptee
Kampur
Kamshet
Kamtaul
Kanakpura
Kanalas Junction
Kanas Road
Kanchipuram
Kanchrapara
Kandaghat
Kandarpur
Kandel Road
Kandra
Kandrori
Kanginhal
Kanhaipur
Kanhangad
Kanhegaon
Kanil
Kanina Khas
Kaniwara
Kaniyapuram
Kanjari Boriyav
Kankaha
Kankanadi
Kankather
Kankavali
Kanki
Kankinara
Kannapuram
Kannauj
Kannur
Kanoh
Kanpur Anwrganj
Kanpur Central
Kanshbahal
Kansrao
Kantabanji
Kantadih
Kantakapalle
Kanth
Kanthan Junction
Kanthi P H
Kanwalpura
Kanwat
Kanyakumari
Kapan
Kapasan
Kapilas Road
Kappil
Kapren
Kapseti
Kaptanganj Junction
Kapurdha Halt
Kapurthala
