Train no.,Train name,Starts,Ends
13351,Dhn Alappuzha E,Dhanbad Junction,Alleppey
12832,Dhn Garib Rath,Bhubaneswar,Dhanbad Junction
12386,Dhn Hwh D D Express,Dhanbad Junction,Howrah Junction
13331,Dhn Pnbe Express,Dhanbad Junction,Patna Junction
3303,Dhn Pnbe Special,Dhanbad Junction,Patna Junction
3327,Dhn Smi Special,Dhanbad Junction,Sitamarhi
15929,Dibrugarh Express,Chennai Egmore,Dibrugarh
15901,Dibrugarh Express,Bangalore Cy Junction,Dibrugarh
5905,Dibrugarh Express,Velankanni,Dibrugarh
11045,Dikshabhoomi Express,C Shahumharaj T,Dhanbad Junction
11046,Dikshabhumi Express,Dhanbad Junction,C Shahumharaj T
50105,Diva Swv Passenger,Diva,Sawantwadi Road
52544,Dj Kgn Ng Train,Darjeeling,Kurseong
52588,Dj Kgn Ng Train,Darjeeling,Kurseong
5736,Dkgn Kir Special,Dekargaon,Katihar Junction
4204,Dli Bsb Special,Delhi,Varanasi Junction
4413,Dli Hsx Special,Delhi,Hoshiarpur
13120,Dli Sdah Express,Delhi,Sealdah
14001,Dli Attari Express,Delhi,Atari
54078,Dli Be Passengr,Delhi,Bareilly
4031,Dli Cdg Express,Delhi,Chandigarh
15116,Dli Cpr Express,Delhi,Chhapra
14206,Dli Fd Express,Delhi,Faizabad Junction
14731,Dli Fka Express,Delhi,Fazilka
14011,Dli Hsx Express,Delhi,Hoshiarpur
4057,Dli Hw Special,Delhi,Haridwar Junction
14659,Dli Jsm Express,Delhi,Barmer
14037,Dli Ptk Express,Delhi,Pathankot
14521,Dli Umb Express,Delhi,Ambala Cant Junction
52576,Dmr Agtl Passenger,Dharmanagar,Agartala
4853,Dna Ju Special,Degana Junction,Jodhpur Junction
13247,Dnr Capital Express,Kamakhya,Danapur
83112,Dnr Grd Express,Danapur,Giridih
83132,Dnr Grd Link Express,Danapur,Giridih
3236,Dnr Sbg Special,Danapur,Sahibganj Junction
23226,Dnr Shc Link Express,Danapur,Saharsa Junction
18184,Dnr Tata Express,Danapur,Tatanagar Junction
13009,Doon Express,Howrah Junction,Kotdwara
13010,Doon Express,Dehradun,Howrah Junction
23010,Doon Exxpress,Kotdwara,Howrah Junction
12131,Dr Sainagar Express,Dadar,Sainagar Shirdi
18209,Drz R Express,Dalli Rajhara,Raipur Junction
18620,Dumk Rnc Express,Dumka,Ranchi
18241,Durg Abkp Express Pa,Durg,Chirmiri
18207,Durg Aii Express,Durg,Ajmer Junction
18215,Durg Jat Express,Durg,Jammu Tawi
12549,Durg Jat Superfast Express,Durg,Jammu Tawi
1708,Durg Jbp Special,Durg,Jabalpur
18211,Durg Jdb Express,Durg,Jagdalpur
18213,Durg Jp Express,Durg,Jaipur
9718,Durg Jp Special,Durg,Jaipur
18201,Durg Ntv Express,Durg,Nautanwa
18205,Durg Ntv Express,Durg,Nautanwa
3287,Durg Pnbe Special,Durg,Patna Junction
18426,Durg Puri Express,Durg,Puri
8202,Durg Src Special,Durg,Santragachi Junction
12357,Durgiana Express,Kolkata,Amritsar Junction
12220,Duronto Ac Express,Secunderabad Junction,Lokmanyatilak T
12269,Duronto Express,Chennai Central,H Nizamuddin
12266,Duronto Express,Jammu Tawi,Delhi S Rohilla
12246,Duronto Express,Yesvantpur Junction,Howrah Junction
12213,Duronto Express,Yesvantpur Junction,Delhi S Rohilla
22201,Duronto Express,Sealdah,Puri
22202,Duronto Express,Puri,Sealdah
22214,Duronto Express,Patna Junction,Shalimar
9726,Duronto Special,Jaipur,Mumbai Central
15636,Dwarka Express,Guwahati,Okha
17302,Dwr Mysore Express,Dharwar,Mysore Junction
18645,East Coast Express,Howrah Junction,Hyderabad Decan
18646,East Coast Express,Hyderabad Decan,Howrah Junction
16605,Ernad Express,Mangalore Cntl,Nagercoil Junction
16606,Ernad Express,Nagercoil Junction,Mangalore Cntl
16314,Ernakulam Express,Kannur,Eranakulam Junction
16306,Ernakulam Express,Kannur,Eranakulam Junction
16865,Ernakulam Express,Karaikal,Eranakulam Junction
16187,Ernakulam Express,Karaikal,Eranakulam Junction
12677,Ernakulam Express,Bangalore Cy Junction,Eranakulam Junction
12684,Ernakulam Superfast Express,Bangalore Cy Junction,Eranakulam Junction
22608,Ernakulam Superfast Express,Bangalore Cy Junction,Eranakulam Junction
6055,Ernakulum Express,Chennai Central,Eranakulam Junction
6345,Ernakulum Express,Chennai Central,Eranakulam Junction
22816,Ers Bilaspur Express,Eranakulam Junction,Bilaspur Junction
16866,Ers Karaikalexp,Eranakulam Junction,Karaikal
16188,Ers Karaikalexp,Eranakulam Junction,Karaikal
1066,Ers Ltt Express,Eranakulam Junction,Lokmanyatilak T
12224,Ers Ltt Duronto,Eranakulam Junction,Lokmanyatilak T
12646,Ers Millenum Express,H Nizamuddin,Eranakulam Junction
12283,Ers Nzm Duronto,Eranakulam Junction,H Nizamuddin
16359,Ers Patna Express,Eranakulam Junction,Patna Junction
22149,Ers Pune Express,Eranakulam Junction,Pune Junction
6549,Ersgaribrath,Yesvantpur Junction,Eranakulam Junction
12703,Falaknuma Express,Howrah Junction,Secunderabad Junction
12704,Falaknuma Express,Secunderabad Junction,Howrah Junction
13413,Farakka Express,Malda Town,Delhi
13483,Farakka Express,Malda Town,Delhi
13484,Farakka Express,Delhi,Malda Town
13414,Farkka Express,Delhi,Malda Town
51028,Fast Passenger,Pandharpur,Mumbai Cst
51027,Fast Passenger,Mumbai Cst,Pandharpur
14205,Fd Dli Express,Faizabad Junction,Delhi
22104,Fd Ltt Superfast Express,Faizabad Junction,Lokmanyatilak T
14732,Fka Dli Express,Fazilka,Delhi
4811,Fl Dee Special,Phulera Junction,Delhi S Rohilla
9770,Fl Jp Passenger Special,Phulera Junction,Jaipur
12921,Flying Ranee,Mumbai Central,Surat
12922,Flying Ranee,Surat,Mumbai Central
19024,Fzr Bct Janta,Firozpur Cant,Mumbai Central
4740,Fzr Bkn Special,Firozpur Cant,Bikaner Junction
14625,Fzr Intercity,Delhi S Rohilla,Firozpur Cant
19023,Fzr Janata Express,Mumbai Central,Firozpur Cant
5216,Fzr Shc Special,Firozpur Cant,Saharsa Junction
8891,G Sc Superfast Special,Gondia Junction,Secunderabad Junction
8897,G Shm Special,Gondia Junction,Shalimar
8297,G Src Special,Gondia Junction,Santragachi Junction
12616,G Terminus Express,New Delhi,Chennai Central
58209,Gad Bsp Passenger,Gevra Road,Bilaspur Junction
18239,Gad Ngp Express,Gevra Road,Nagpur
13017,Ganadevta Express,Howrah Junction,Azimganj Junction
13018,Ganadevta Express,Azimganj Junction,Howrah Junction
16336,Gandhidham Express,Nagercoil Junction,Gandhidham Bg
16506,Gandhidham Express,Bangalore Cy Junction,Gandhidham Bg
19451,Gandhidham Express,Bandra Terminus,Gandhidham Bg
19151,Gandhidham Express,Palanpur Junction,Gandhidham Bg
9456,Gandhidham Special,Indore Junction Bg,Gandhidham Bg
9451,Gandhidham Special,Bandra Terminus,Gandhidham Bg
14216,Ganga Gomti Express,Lucknow Nr,Allahabad Junction
14215,Ganga Gomti Express,Allahabad Junction,Lucknow Nr
13186,Ganga Sagar Express,Jaynagar,Sealdah
13329,Gangadamodar Express,Dhanbad Junction,Patna Junction
13330,Gangadamodar Express,Patna Junction,Dhanbad Junction
12670,Gangakaveri Express,Chhapra,Chennai Central
12669,Gangakaveri Express,Chennai Central,Chhapra
13185,Gangasagar Express,Sealdah,Jaynagar
13308,Gangasatluj Express,Firozpur Cant,Dhanbad Junction
13307,Gangasutlej Express,Dhanbad Junction,Firozpur Cant
12937,Garbha Express,Gandhidham Bg,Howrah Junction
12938,Garbha Express,Howrah Junction,Gandhidham Bg
14043,Garhwal Express,Kotdwara,Delhi
14044,Garhwal Express,Delhi,Kotdwara
15715,Garib Nawaj Express,Kishanganj,Ajmer Junction
15716,Garib Nawaj Express,Ajmer Junction,Kishanganj
16532,Garib Nawaz Express,Bangalore Cy Junction,Ajmer Junction
14605,Garib Rath Express,Lal Kuan,Amritsar Junction
14606,Garib Rath Express,Amritsar Junction,Lal Kuan
12203,Garib Rath Express,Saharsa Junction,Amritsar Junction
12049,Gatimaan Express,Agra Cantt,H Nizamuddin
12050,Gatimaan Express,H Nizamuddin,Agra Cantt
13024,Gaya Hwh Express,Gaya Junction,Howrah Junction
1710,Gaya Jbp Special,Gaya Junction,Jabalpur
15619,Gaya Kyq Wkly E,Gaya Junction,Kamakhya
12389,Gaya Ms Express,Gaya Junction,Chennai Egmore
13510,Gd Asn Express,Gonda Junction,Asansol Junction
14214,Gd Bsb Intercity,Gonda Junction,Varanasi Junction
11111,Gd Sushasan Express,Gwalior,Balrampur
2710,Gdr Garibrathsp,Secunderabad Junction,Gudur Junction
2424,Ghy Dbrt Ra,Guwahati,Dibrugarh Town
15632,Ghy Bme Bkn Express,Guwahati,Bikaner Junction
25653,Ghy Bsb Special,Guwahati,Varanasi Junction
5653,Ghy Bsb Special,Guwahati,Varanasi Junction
5969,Ghy Dbrg Special,Guwahati,Dibrugarh
12517,Ghy Garib Rath,Kolkata,Guwahati
5609,Ghy Gkp Special,Guwahati,Gorakhpur Junction
3058,Ghy Hwh Special,Guwahati,Howrah Junction
15606,Ghy Intercity,Dibrugarh,Kamakhya
25610,Ghy Jivachh Lin,Darbhanga Junction,New Tinsukia Junction
6335,Ghy Kcvl Special,Guwahati,Kochuveli
2518,Ghy Kol Special,Guwahati,Kolkata
15646,Ghy Ltt Express,Guwahati,Lokmanyatilak T
15648,Ghy Ltt Express,Guwahati,Lokmanyatilak T
2435,Ghy Ndls Ac Superfast,Guwahati,New Delhi
15617,Ghy Nhln I C Express,Guwahati,Mumbai Cst
2261,Ghy Premium Special,Sealdah,Guwahati
15640,Ghy Puri Express,Guwahati,Puri
22424,Ghy Rajdhani,New Delhi,Guwahati
22423,Ghy Rajdhani Express,Dibrugarh Town,New Delhi
12510,Ghy Sbc Express,Guwahati,Bangalore Cy Junction
12514,Ghy Sc Express,Guwahati,Secunderabad Junction
55615,Ghy Scl Passenger,Guwahati,Silchar
2262,Ghy Sdah Premiu,Guwahati,Sealdah
12508,Ghy Tvc Express,Guwahati,Trivandrum Cntl
12516,Ghy Tvc Express,Guwahati,Trivandrum Cntl
9455,Gimb Indore Special,Gandhidham Bg,Indore Junction Bg
12993,Gimb Puri Express,Gandhidham Bg,Puri
19453,Gimb Puri Express,Gandhidham Bg,Puri
16505,Gimb Sbc Express,Gandhidham Bg,Bangalore Cy Junction
18502,Gimb Vskp Express,Gandhidham Bg,Vishakapatnam
12859,Gitanjali Express,Mumbai Cst,Howrah Junction
12860,Gitanjali Express,Howrah Junction,Mumbai Cst
19410,Gkp Adi Express,Gorakhpur Junction,Ahmedabad Junction
15057,Gkp Anvt Express,Gorakhpur Junction,Anand Vihar Trm
5051,Gkp Anvt Special,Gorakhpur Junction,Anand Vihar Trm
5035,Gkp Anvt Special,Gorakhpur Junction,Anand Vihar Trm
5027,Gkp Anvt Special,Gorakhpur Junction,Anand Vihar Trm
5057,Gkp Anvt Special,Gorakhpur Junction,Anand Vihar Trm
5049,Gkp Anvt Special,Gorakhpur Junction,Delhi
13508,Gkp Asn Express,Gorakhpur Junction,Asansol Junction
2533,Gkp Bdts Special,Gorakhpur Junction,Bandra Terminus
3454,Gkp Bgp Special,Gorakhpur Junction,Bhagalpur
15005,Gkp Ddn Express,Gorakhpur Junction,Dehradun
15020,Gkp Intercity,Nautanwa,Gorakhpur Junction
15104,Gkp Intercity,Manduadih,Gorakhpur Junction
15105,Gkp Intercity,Chhapra,Gorakhpur Junction
12532,Gkp Intercity,Lucknow Ne,Gorakhpur Junction
5043,Gkp Jat Special,Gorakhpur Junction,Jammu Tawi
3132,Gkp Koaa Special,Gorakhpur Junction,Kolkata
3136,Gkp Koaa Special,Gorakhpur Junction,Kolkata
15052,Gkp Kolkata Express,Gorakhpur Junction,Kolkata
15050,Gkp Kolkata Express,Gorakhpur Junction,Kolkata
11082,Gkp Ltt Express,Gorakhpur Junction,Lokmanyatilak T
15018,Gkp Ltt Express,Gorakhpur Junction,C Shahumharaj T
11080,Gkp Ltt Express,Gorakhpur Junction,Lokmanyatilak T
1048,Gkp Ltt Special,Gorakhpur Junction,Lokmanyatilak T
5041,Gkp Ltt Special,Gorakhpur Junction,Lokmanyatilak T
5031,Gkp Ltt Special,Gorakhpur Junction,Lokmanyatilak T
12541,Gkp Ltt Superfast Express,Gorakhpur Junction,Lokmanyatilak T
55149,Gkp Muv Passenger,Gorakhpur Junction,Manduadih
15045,Gkp Okha Express,Gorakhpur Junction,Okha
15029,Gkp Pune Express,Gorakhpur Junction,Pune Junction
11038,Gkp Pune Express,Gorakhpur Junction,Pune Junction
12589,Gkp Sc Express,Gorakhpur Junction,Secunderabad Junction
15022,Gkp Shm Express,Gorakhpur Junction,Shalimar
15023,Gkp Ypr Express,Gorakhpur Junction,Yesvantpur Junction
15015,Gkp Ypr Express,Gorakhpur Junction,Yesvantpur Junction
12591,Gkp Ypr Express,Gorakhpur Junction,Yesvantpur Junction
19309,Gnc Indore Express,Gandhinagar Cap,Indore Junction Bg
22118,Gnt Double Deck,Kacheguda,Guntur Junction
12705,Gnt Sc Express,Guntur Junction,Secunderabad Junction
7229,Gnt Tpty Special,Guntur Junction,Tirupati
12779,Goa Express,Vasco Da Gama,H Nizamuddin
12780,Goa Express,H Nizamuddin,Hubli Junction
12449,Goa Sampark K Express,Madgaon,Chandigarh
12450,Goa Sampark K Express,Chandigarh,Madgaon
11056,Godan Express,Gorakhpur Junction,Lokmanyatilak T
11055,Godan Express,Lokmanyatilak T,Gorakhpur Junction
12728,Godavari Express,Hyderabad Decan,Vishakapatnam
12727,Godavari Express,Vishakapatnam,Hyderabad Decan
15315,Gokul Express,Gonda Junction,Izzatnagar
15316,Gokul Express,Bareilly,Gonda Junction
17201,Golconda Express,Guntur Junction,Secunderabad Junction
17202,Golconda Express,Secunderabad Junction,Guntur Junction
12903,Goldentemple Ml,Mumbai Central,Amritsar Junction
12904,Goldn Temple Ml,Amritsar Junction,Mumbai Central
16536,Golgumbaz Express,Solapur Junction,Mysore Junction
16535,Golgumbaz Express,Mysore Junction,Solapur Junction
12419,Gomti Express,Lucknow Nr,New Delhi
12420,Gomti Express,New Delhi,Lucknow Nr
15232,Gondia Bju Express,Gondia Junction,Barauni Junction
15118,Gondia Cpr Express,Gondia Junction,Chhapra
12406,Gondwana Express,H Nizamuddin,Bhusaval Junction
12409,Gondwana Express,Raigarh,H Nizamuddin
12405,Gondwana Express,Bhusaval Junction,H Nizamuddin
12410,Gondwana Express,H Nizamuddin,Raigarh
12555,Gorakdam Express,Gorakhpur Junction,Hisar
12556,Gorakdam Express,Hisar,Gorakhpur Junction
12590,Gorakhpur Express,Secunderabad Junction,Gorakhpur Junction
12592,Gorakhpur Express,Yesvantpur Junction,Gorakhpur Junction
15017,Gorakhpur Express,Lokmanyatilak T,Gorakhpur Junction
15046,Gorakhpur Express,Okha,Gorakhpur Junction
19409,Gorakhpur Express,Ahmedabad Junction,Gorakhpur Junction
13154,Gour Express,Malda Town,Sealdah
23154,Gour Express,Balurghat,Sealdah
13153,Gour Express,Sealdah,Balurghat
12738,Goutami Express,Secunderabad Junction,Kakinada Port
12737,Goutami Express,Kakinada Port,Secunderabad Junction
1221,Gr Bpl Special,Gulbarga,Bhopal Junction
12615,Grand Trunk Express,Chennai Central,New Delhi
12615,Grand Trunk Express,Chennai Central,Delhi S Rohilla
23111,Grd Dnr Express,Giridih,Danapur
23112,Grd Koaa Express,Giridih,Kolkata
53520,Grd Link Passenger Express,Giridih,Kolkata
19011,Gujarat Express,Mumbai Central,Ahmedabad Junction
19012,Gujarat Express,Ahmedabad Junction,Mumbai Central
12902,Gujarat Mail,Ahmedabad Junction,Mumbai Central
12901,Gujarat Mail,Mumbai Central,Ahmedabad Junction
19033,Gujarat Queen,Valsad,Ahmedabad Junction
19034,Gujarat Queen,Ahmedabad Junction,Valsad
12917,Gujarat Sampark K,Ahmedabad Junction,H Nizamuddin
12918,Gujrat S Kranti,H Nizamuddin,Ahmedabad Junction
12660,Gurudev Express,Shalimar,Nagercoil Junction
12659,Gurudev Express,Nagercoil Junction,Shalimar
16342,Guruvayur Express,Trivandrum Cntl,Guruvayur
16128,Guv Chennai Express,Guruvayur,Chennai Egmore
12507,Guwahati Express,Trivandrum Cntl,Guwahati
12509,Guwahati Express,Bangalore Cy Junction,Guwahati
12515,Guwahati Express,Trivandrum Cntl,Guwahati
15629,Guwahati Express,Chennai Egmore,Guwahati
15635,Guwahati Express,Okha,Guwahati
15645,Guwahati Express,Lokmanyatilak T,Guwahati
15647,Guwahati Express,Lokmanyatilak T,Guwahati
15630,Guwahati Ms Express,Guwahati,Chennai Egmore
11124,Gwl Bju Mail,Gwalior,Barauni Junction
11126,Gwl Indb Express,Gwalior,Indore Junction Bg
12197,Gwl Intercity,Bhopal Junction,Gwalior
1016,Gwl Ltt Special,Gwalior,Lokmanyatilak T
11102,Gwl Pune Express,Gwalior,Pune Junction
11112,Gwl Sushasan Express,Balrampur,Gwalior
22131,Gyan Ganga Express,Pune Junction,Manduadih
22132,Gyan Ganga Superfast,Manduadih,Pune Junction
12153,Habibganj Express,Lokmanyatilak T,Habibganj
22613,Haldia Express,Chennai Central,Haldia
12755,Haldia Express,Chennai Central,Haldia
59811,Haldighati Passenger,Ratlam Junction,Agra Fort
59812,Haldighati Passenger,Agra Fort,Ratlam Junction
16592,Hampi Express,Mysore Junction,Hubli Junction
16591,Hampi Express,Hubli Junction,Mysore Junction
22939,Hapa Bsp Express,Hapa,Bilaspur Junction
9535,Hapa Bsp Superfast Special,Hapa,Bilaspur Junction
19577,Hapa Express,Tirunelveli,Hapa
29059,Hapa Intercity,Surat,Hapa
12475,Hapa Jat Express,Hapa,Jammu Tawi
22908,Hapa Madgaon Express,Hapa,Madgaon
19578,Hapa Ten Express,Hapa,Tirunelveli
22917,Haridwar Express,Bandra Terminus,Haridwar Junction
19031,Haridwar Mail,Ahmedabad Junction,Haridwar Junction
14523,Hariharnath Express,Muzaffarpur Junction,Ambala Cant Junction
17415,Haripriya Express,Tirupati,C Shahumharaj T
17416,Haripriya Express,C Shahumharaj T,Tirupati
13163,Hate Bazare Express,Sealdah,Saharsa Junction
13164,Hate Bazare Express,Saharsa Junction,Sealdah
12811,Hatia Express,Lokmanyatilak T,Hatia
13113,Hazarduari Express,Kolkata,Lalgola
13114,Hazarduari Express,Lalgola,Kolkata
22184,Hbj Double Deck,Indore Junction Bg,Habibganj
1659,Hbj Gaya Special,Habibganj,Gaya Junction
12062,Hbj Janshatabdi,Jabalpur,Habibganj
1267,Hbj Jbp Special,Habibganj,Jabalpur
12154,Hbj Ltt Superfast Express,Habibganj,Lokmanyatilak T
1658,Hbj Ngp Special,Habibganj,Nagpur
2185,Hbj Rewa Special,Habibganj,Rewa
2191,Hbj Rewa Superfast Special,Habibganj,Rewa
12364,Hdb Koaa Superfast Express,Haldibari,Kolkata
14610,Hemkunt Express,Jammu Tawi,Rishikesh
14609,Hemkunt Express,Rishikesh,Jammu Tawi
5697,Hill Queen Express,Lumding Junction,Lower Haflong
5698,Hill Queen Express,Lower Haflong,Lumding Junction
14553,Himachal Express,Delhi,Amb Andaura
14554,Himachal Express,Amb Andaura,Delhi
14096,Himalayan Queen,Kalka,Delhi S Rohilla
52456,Himalyan Queen,Simla,Kalka
14095,Himalyan Queen,Delhi S Rohilla,Kalka
52455,Himalyan Queen,Kalka,Simla
12332,Himgiri Express,Jammu Tawi,Howrah Junction
12331,Himgiri Express,Howrah Junction,Jammu Tawi
16318,Himsagar Express,Jammu Tawi,Tirunelveli
16317,Himsagar Express,Kanyakumari,Jammu Tawi
18447,Hirakhand Express,Bhubaneswar,Jagdalpur
18448,Hirakhand Express,Jagdalpur,Bhubaneswar
18508,Hirakund Express,Amritsar Junction,Vishakapatnam
12443,Hlz Anvt Wkly S,Haldia,Anand Vihar Trm
22614,Hlz Mas Superfast Express,Haldia,Chennai Central
22982,Hmh Kota Superfast,Shri Ganganagar,Kota Junction
9733,Hmh Kota Special,Hanumangarh Junction,Kota Junction
4751,Hmh Sgnr Special,Hanumangarh Junction,Shri Ganganagar
13051,Hool Express,Howrah Junction,Siuri
13052,Hool Express,Siuri,Howrah Junction
56909,Hospet Passenger,Bangalore Cy Junction,Hospet Junction
12221,Howrah Duronto,Pune Junction,Howrah Junction
12261,Howrah Duronto,Mumbai Cst,Howrah Junction
22832,Howrah Express,Sai P Nilayam,Howrah Junction
12833,Howrah Express,Ahmedabad Junction,Howrah Junction
12664,Howrah Express,Tiruchchirapali,Howrah Junction
12840,Howrah Mail,Chennai Central,Howrah Junction
12809,Howrah Mail,Mumbai Cst,Howrah Junction
12869,Howrah Superfast Express,Mumbai Cst,Howrah Junction
54601,Hsr Asr Psngr,Hisar,Amritsar Junction
22916,Hsr Bdts S F Express,Hisar,Bandra Terminus
54834,Hsr Jp Passenger,Hisar,Jaipur
14012,Hsx Dli Express,Hoshiarpur,Delhi
4414,Hsx Dli Special,Hoshiarpur,Delhi
2084,Hte Cstm Superfast Special,Hatia,Mumbai Cst
12812,Hte Ltt Super,Hatia,Lokmanyatilak T
8612,Hte Ngp Special,Hatia,Nagpur
18626,Hte Pnbe Express,Hatia,Patna Junction
22846,Hte Pune Express,Hatia,Pune Junction
18624,Hte Rjpb Express,Hatia,Rjndr Ngr Bihar
18616,Hte Rnc Hwh Express,Hatia,Howrah Junction
8047,Hte Ypr Exam Special,Hatia,Yesvantpur Junction
18637,Hte Ypr Express,Hatia,Yesvantpur Junction
12835,Hte Ypr Express,Hatia,Yesvantpur Junction
8637,Hte Ypr Special,Hatia,Yesvantpur Junction
2686,Hubli Premium,Patna Junction,Hubli Junction
12778,Hubli Express,Kochuveli,Hubli Junction
6567,Hubli Express,Mangalore Cntl,Hubli Junction
1494,Hubli Express,Bijapur,Hubli Junction
56501,Hubli Passenger,Vijayawada Junction,Hubli Junction
12701,Husainsagar Express,Mumbai Cst,Hyderabad Decan
12702,Hussainsagar Express,Hyderabad Decan,Mumbai Cst
12157,Hutatma Express,Pune Junction,Solapur Junction
12158,Hutatma Express,Solapur Junction,Pune Junction
19032,Hw Adi Mail,Haridwar Junction,Ahmedabad Junction
19610,Hw Aii Express,Haridwar Junction,Ajmer Junction
14116,Hw Ald Express,Haridwar Junction,Allahabad Junction
12053,Hw Asr Jnshtbdi,Haridwar Junction,Amritsar Junction
22918,Hw Bdts Superfast Express,Haridwar Junction,Bandra Terminus
12912,Hw Bl Superfast Express,Haridwar Junction,Valsad
24887,Hw Bme Link Express,Haridwar Junction,Barmer
4058,Hw Dli Express,Haridwar Junction,Delhi
12370,Hw Hwh S F Express,Haridwar Junction,Howrah Junction
3016,Hw Hwh Special,Haridwar Junction,Howrah Junction
3116,Hw Koaa Superfast Special,Haridwar Junction,Kolkata
12172,Hw Ltt Ac Superfast,Haridwar Junction,Lokmanyatilak T
4316,Hw Mfp Special,Haridwar Junction,Muzaffarpur Junction
15033,Hw Rmr Express,Haridwar Junction,Ramnagar
12063,Hw Uhl Link Jsh,Haridwar Junction,Una Himachal
12834,Hwh Adi Express,Howrah Junction,Ahmedabad Junction
3001,Hwh Ajmer Special,Howrah Junction,Ajmer Junction
13063,Hwh Blgt Express,Howrah Junction,Balurghat
13025,Hwh Bpl Express,Howrah Junction,Bhopal Junction
58011,Hwh Ckp Passenger,Howrah Junction,Chakradharpur
12262,Hwh Cstm Duront,Howrah Junction,Mumbai Cst
12870,Hwh Cstm Express,Howrah Junction,Mumbai Cst
15235,Hwh Dbg Express,Howrah Junction,Darbhanga Junction
12847,Hwh Dgha Duront,Howrah Junction,Digha Flag Stn
2249,Hwh Dgha Special,Howrah Junction,Digha Flag Stn
12311,Hwh Dli Klk Mai,Howrah Junction,Kalka
12274,Hwh Duronto Express,New Delhi,Howrah Junction
13023,Hwh Gaya Express,Howrah Junction,Gaya Junction
3057,Hwh Ghy Special,Howrah Junction,Guwahati
3067,Hwh Gkp Special,Howrah Junction,Gorakhpur Junction
18615,Hwh Hatia Express,Howrah Junction,Hatia
13071,Hwh Jmp Express,Howrah Junction,Jamalpur Junction
12371,Hwh Jsm Express,Howrah Junction,Jaisalmer
12307,Hwh Ju Express,Howrah Junction,Bikaner Junction
4824,Hwh Ju Special,Howrah Junction,Jodhpur Junction
13016,Hwh Kaviguru Express,Bolpur S Niktn,Howrah Junction
15711,Hwh Kir Express,Howrah Junction,Katihar Junction
18005,Hwh Koraput Express,Howrah Junction,Jagdalpur
12353,Hwh Lku Express,Howrah Junction,Lal Kuan
2870,Hwh Ltt Special,Howrah Junction,Lokmanyatilak T
12839,Hwh Mas Mail,Howrah Junction,Chennai Central
2841,Hwh Mas Premium,Howrah Junction,Chennai Central
53049,Hwh Mka Passenger,Howrah Junction,Mokameh Junction
53003,Hwh Mldt F Passenger,Howrah Junction,Malda Town
13011,Hwh Mldt Intercity Express,Howrah Junction,Malda Town
3465,Hwh Mldt Special,Howrah Junction,Malda Town
12321,Hwh Mumbai Mail,Howrah Junction,Mumbai Cst
12810,Hwh Mumbai Mail,Howrah Junction,Mumbai Cst
22817,Hwh Mys Express,Howrah Junction,Mysore Junction
12323,Hwh Ndls Express,Howrah Junction,New Delhi
12249,Hwh Ndls Yuva E,Howrah Junction,New Delhi
22309,Hwh Njp Ac Express,Howrah Junction,New Jalpaiguri
3063,Hwh Njp Special,Howrah Junction,New Jalpaiguri
12906,Hwh Pbr Okhaex,Howrah Junction,Okha
12867,Hwh Pdy Express,Howrah Junction,Puducherry
3065,Hwh Pnbe Special,Howrah Junction,Patna Junction
12827,Hwh Prr Express,Howrah Junction,Purulia Junction
12222,Hwh Pune Duront,Howrah Junction,Pune Junction
12837,Hwh Puri Express,Howrah Junction,Puri
12887,Hwh Puri Express,Howrah Junction,Puri
12895,Hwh Puri Express,Howrah Junction,Puri
12881,Hwh Puri G Rath,Howrah Junction,Puri
22891,Hwh Rnc Intercity Express,Howrah Junction,Ranchi
18627,Hwh Rnc Intercity Express,Howrah Junction,Ranchi
13043,Hwh Rxl Express,Howrah Junction,Raxual Junction
22803,Hwh Sbp Superfast Express,Howrah Junction,Sambalpur
12585,Hwh Sbp Superfast Express,Howrah Junction,Sambalpur
22894,Hwh Snsi Express,Howrah Junction,Sainagar Shirdi
12574,Hwh Snsi Express,Howrah Junction,Sainagar Shirdi
22831,Hwh Sspn Express,Howrah Junction,Sai P Nilayam
12571,Hwh Sspn Express,Howrah Junction,Sai P Nilayam
13053,Hwh Suri Express,Howrah Junction,Siuri
12663,Hwh Tpj Express,Howrah Junction,Tiruchchirapali
22863,Hwh Ypr Ac Express,Howrah Junction,Yesvantpur Junction
12245,Hwh Ypr Duronto,Howrah Junction,Yesvantpur Junction
12863,Hwh Ypr Express,Howrah Junction,Yesvantpur Junction
2863,Hwh Ypr Premium,Howrah Junction,Yesvantpur Junction
7091,Hyb Ald Special,Hyderabad Decan,Allahabad Junction
7028,Hyb Vskp Special,Hyderabad Decan,Vishakapatnam
8564,Hyb Vskp Special,Hyderabad Decan,Vishakapatnam
17020,Hyb Aii Express,Hyderabad Decan,Ajmer Junction
7020,Hyb Aii Special,Hyderabad Decan,Ajmer Junction
12720,Hyb Aii Superfast Express,Hyderabad Decan,Ajmer Junction
17010,Hyb Bidr Express,Hyderabad Decan,Bidar
57130,Hyb Bjp Psgr,Hyderabad Decan,Bijapur
17011,Hyb Bpa Express,Hyderabad Decan,Belampalli
7011,Hyb Bpa Special,Hyderabad Decan,Belampalli
7001,Hyb Cct Special,Hyderabad Decan,Kakinada Town
7137,Hyb Fzr Special,Hyderabad Decan,Firozpur Cant
7021,Hyb Jat Special,Hyderabad Decan,Jammu Tawi
